ND,SD,NE,KS,OK,MN,IA,MO,AR,LA,MS,WI,IL,MI,IN,OH,KY,TN,AL,FL,GA,SC,NC,WV,MD,DE,PA,NJ,NY,NH,CT,RI,MA,VT,ME
1.7352499999999997,1.9869999999999999,1.3159999999999998,1.5737999999999999,1.7252,2.0627692307692302,1.5692258064516131,1.5634827586206899,1.846235294117647,3.0068,2.616,2.0882608695652176,1.6367142857142856,2.04965,2.1616969696969695,2.047333333333333,1.9200588235294114,2.1395,2.210111111111111,2.5503333333333336,2.687687500000001,3.318882352941177,2.663611111111111,2.3141111111111115,3.25,3.25,3.25,3.25,3.25,3.25,3.25,3.25,3.25,3.25,3.25
1.7352499999999997,1.9869999999999999,1.3159999999999998,1.5737999999999999,1.7252,2.0627692307692302,1.5692258064516131,1.5634827586206899,1.846235294117647,3.0068,2.616,2.0882608695652176,1.6367142857142856,2.04965,2.1616969696969695,2.047333333333333,1.9200588235294114,2.1395,2.210111111111111,2.5503333333333336,2.687687500000001,3.318882352941177,2.663611111111111,2.3141111111111115,3.25,3.25,3.25,3.25,3.25,3.25,3.25,3.25,3.25,3.25,3.25
1.7352499999999997,1.9869999999999999,1.3159999999999998,1.5737999999999999,1.7252,2.0627692307692302,1.5692258064516131,1.5634827586206899,1.846235294117647,3.0068,2.616,2.0882608695652176,1.6367142857142856,2.04965,2.1616969696969695,2.047333333333333,1.9200588235294114,2.1395,2.210111111111111,2.5503333333333336,2.687687500000001,3.318882352941177,2.663611111111111,2.3141111111111115,3.25,3.25,3.25,3.25,3.25,3.25,3.25,3.25,3.25,3.25,3.25
1.7352499999999997,1.9869999999999999,1.3159999999999998,1.5737999999999999,1.7252,2.0627692307692302,1.5692258064516131,1.5634827586206899,1.846235294117647,3.0068,2.616,2.0882608695652176,1.6367142857142856,2.04965,2.1616969696969695,2.047333333333333,1.9200588235294114,2.1395,2.210111111111111,2.5503333333333336,2.687687500000001,3.318882352941177,2.663611111111111,2.3141111111111115,3.25,3.25,3.25,3.25,3.25,3.25,3.25,3.25,3.25,3.25,3.25
1.7352499999999997,1.9869999999999999,1.3159999999999998,1.5737999999999999,1.7252,2.0627692307692302,1.5692258064516131,1.5634827586206899,1.846235294117647,3.0068,2.616,2.0882608695652176,1.6367142857142856,2.04965,2.1616969696969695,2.047333333333333,1.9200588235294114,2.1395,2.210111111111111,2.5503333333333336,2.687687500000001,3.318882352941177,2.663611111111111,2.3141111111111115,3.25,3.25,3.25,3.25,3.25,3.25,3.25,3.25,3.25,3.25,3.25
1.7352499999999997,1.9869999999999999,1.3159999999999998,1.5737999999999999,1.7252,2.0627692307692302,1.5692258064516131,1.5634827586206899,1.846235294117647,3.0068,2.616,2.0882608695652176,1.6367142857142856,2.04965,2.1616969696969695,2.047333333333333,1.9200588235294114,2.1395,2.210111111111111,2.5503333333333336,2.687687500000001,3.318882352941177,2.663611111111111,2.3141111111111115,3.25,3.25,3.25,3.25,3.25,3.25,3.25,3.25,3.25,3.25,3.25
1.7352499999999997,1.9869999999999999,1.3159999999999998,1.5737999999999999,1.7252,2.0627692307692302,1.5692258064516131,1.5634827586206899,1.846235294117647,3.0068,2.616,2.0882608695652176,1.6367142857142856,2.04965,2.1616969696969695,2.047333333333333,1.9200588235294114,2.1395,2.210111111111111,2.5503333333333336,2.687687500000001,3.318882352941177,2.663611111111111,2.3141111111111115,3.25,3.25,3.25,3.25,3.25,3.25,3.25,3.25,3.25,3.25,3.25
1.7352499999999997,1.9869999999999999,1.3159999999999998,1.5737999999999999,1.7252,2.0627692307692302,1.5692258064516131,1.5634827586206899,1.846235294117647,3.0068,2.616,2.0882608695652176,1.6367142857142856,2.04965,2.1616969696969695,2.047333333333333,1.9200588235294114,2.1395,2.210111111111111,2.5503333333333336,2.687687500000001,3.318882352941177,2.663611111111111,2.3141111111111115,3.25,3.25,3.25,3.25,3.25,3.25,3.25,3.25,3.25,3.25,3.25
1.7352499999999997,1.9869999999999999,1.3159999999999998,1.5737999999999999,1.7252,2.0627692307692302,1.5692258064516131,1.5634827586206899,1.846235294117647,3.0068,2.616,2.0882608695652176,1.6367142857142856,2.04965,2.1616969696969695,2.047333333333333,1.9200588235294114,2.1395,2.210111111111111,2.5503333333333336,2.687687500000001,3.318882352941177,2.663611111111111,2.3141111111111115,3.25,3.25,3.25,3.25,3.25,3.25,3.25,3.25,3.25,3.25,3.25
1.7352499999999997,1.9869999999999999,1.3159999999999998,1.5737999999999999,1.7252,2.0627692307692302,1.5692258064516131,1.5634827586206899,1.846235294117647,3.0068,2.616,2.0882608695652176,1.6367142857142856,2.04965,2.1616969696969695,2.047333333333333,1.9200588235294114,2.1395,2.210111111111111,2.5503333333333336,2.687687500000001,3.318882352941177,2.663611111111111,2.3141111111111115,3.25,3.25,3.25,3.25,3.25,3.25,3.25,3.25,3.25,3.25,3.25
1.7352499999999997,1.9869999999999999,1.3159999999999998,1.5737999999999999,1.7252,2.0627692307692302,1.5692258064516131,1.5634827586206899,1.846235294117647,3.0068,2.616,2.0882608695652176,1.6367142857142856,2.04965,2.1616969696969695,2.047333333333333,1.9200588235294114,2.1395,2.210111111111111,2.5503333333333336,2.687687500000001,3.318882352941177,2.663611111111111,2.3141111111111115,3.25,3.25,3.25,3.25,3.25,3.25,3.25,3.25,3.25,3.25,3.25
1.7352499999999997,1.9869999999999999,1.3159999999999998,1.5737999999999999,1.7252,2.0627692307692302,1.5692258064516131,1.5634827586206899,1.846235294117647,3.0068,2.616,2.0882608695652176,1.6367142857142856,2.04965,2.1616969696969695,2.047333333333333,1.9200588235294114,2.1395,2.210111111111111,2.5503333333333336,2.687687500000001,3.318882352941177,2.663611111111111,2.3141111111111115,3.25,3.25,3.25,3.25,3.25,3.25,3.25,3.25,3.25,3.25,3.25
1.7352499999999997,1.9869999999999999,1.3159999999999998,1.5737999999999999,1.7252,2.0627692307692302,1.5692258064516131,1.5634827586206899,1.846235294117647,3.0068,2.616,2.0882608695652176,1.6367142857142856,2.04965,2.1616969696969695,2.047333333333333,1.9200588235294114,2.1395,2.210111111111111,2.5503333333333336,2.687687500000001,3.318882352941177,2.663611111111111,2.3141111111111115,3.25,3.25,3.25,3.25,3.25,3.25,3.25,3.25,3.25,3.25,3.25
1.7352499999999997,1.9869999999999999,1.3159999999999998,1.5737999999999999,1.7252,2.0627692307692302,1.5692258064516131,1.5634827586206899,1.846235294117647,3.0068,2.616,2.0882608695652176,1.6367142857142856,2.04965,2.1616969696969695,2.047333333333333,1.9200588235294114,2.1395,2.210111111111111,2.5503333333333336,2.687687500000001,3.318882352941177,2.663611111111111,2.3141111111111115,3.25,3.25,3.25,3.25,3.25,3.25,3.25,3.25,3.25,3.25,3.25
1.7352499999999997,1.9869999999999999,1.3159999999999998,1.5737999999999999,1.7252,2.0627692307692302,1.5692258064516131,1.5634827586206899,1.846235294117647,3.0068,2.616,2.0882608695652176,1.6367142857142856,2.04965,2.1616969696969695,2.047333333333333,1.9200588235294114,2.1395,2.210111111111111,2.5503333333333336,2.687687500000001,3.318882352941177,2.663611111111111,2.3141111111111115,3.25,3.25,3.25,3.25,3.25,3.25,3.25,3.25,3.25,3.25,3.25
1.7352499999999997,1.9869999999999999,1.3159999999999998,1.5737999999999999,1.7252,2.0627692307692302,1.5692258064516131,1.5634827586206899,1.846235294117647,3.0068,2.616,2.0882608695652176,1.6367142857142856,2.04965,2.1616969696969695,2.047333333333333,1.9200588235294114,2.1395,2.210111111111111,2.5503333333333336,2.687687500000001,3.318882352941177,2.663611111111111,2.3141111111111115,3.25,3.25,3.25,3.25,3.25,3.25,3.25,3.25,3.25,3.25,3.25
1.7352499999999997,1.9869999999999999,1.3159999999999998,1.5737999999999999,1.7252,2.0627692307692302,1.5692258064516131,1.5634827586206899,1.846235294117647,3.0068,2.616,2.0882608695652176,1.6367142857142856,2.04965,2.1616969696969695,2.047333333333333,1.9200588235294114,2.1395,2.210111111111111,2.5503333333333336,2.687687500000001,3.318882352941177,2.663611111111111,2.3141111111111115,3.25,3.25,3.25,3.25,3.25,3.25,3.25,3.25,3.25,3.25,3.25
1.7352499999999997,1.9869999999999999,1.3159999999999998,1.5737999999999999,1.7252,2.0627692307692302,1.5692258064516131,1.5634827586206899,1.846235294117647,3.0068,2.616,2.0882608695652176,1.6367142857142856,2.04965,2.1616969696969695,2.047333333333333,1.9200588235294114,2.1395,2.210111111111111,2.5503333333333336,2.687687500000001,3.318882352941177,2.663611111111111,2.3141111111111115,3.25,3.25,3.25,3.25,3.25,3.25,3.25,3.25,3.25,3.25,3.25
